柜体侧板（L）,CB(L)-HS00-2434-574-16
柜体侧板（R）,CB(R)-HS00-2434-574-16
顶底板（单门柜体）,DD-HS00-336-554-16
顶底板（单门柜体）,DD-HS00-368-554-16
顶底板（单门柜体）,DD-HS00-400-554-16
顶底板（单门柜体）,DD-HS00-432-554-16
顶底板（双门柜体）,DD-HS00-672-554-16
顶底板（双门柜体）,DD-HS00-704-554-16
顶底板（双门柜体）,DD-HS00-736-554-16
顶底板（双门柜体）,DD-HS00-768-554-16
顶底板（双门柜体）,DD-HS00-800-554-16
顶底板（双门柜体）,DD-HS00-832-554-16
顶底板（双门柜体）,DD-HS00-864-554-16
顶底板（双门柜体）,DD-HS00-896-554-16
层隔板（单门柜体）,CG-HS00-336-554-25
层隔板（单门柜体）,CG-HS00-368-554-25
层隔板（单门柜体）,CG-HS00-400-554-25
层隔板（单门柜体）,CG-HS00-432-554-25
层隔板（双门柜体）,CG-HS00-672-554-25
层隔板（双门柜体）,CG-HS00-704-554-25
层隔板（双门柜体）,CG-HS00-736-554-25
层隔板（双门柜体）,CG-HS00-768-554-25
层隔板（双门柜体）,CG-HS00-800-554-25
层隔板（双门柜体）,CG-HS00-832-554-25
层隔板（双门柜体）,CG-HS00-864-554-25
层隔板（双门柜体）,CG-HS00-896-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-672-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-704-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-736-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-768-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-800-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-832-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-864-554-25
"抽屉层隔板（E/F类柜体）与""抽屉组件""搭配使用",CTCG-HS00-896-554-25
后背板（单门柜体）,HB-HS00-2352-336-12
后背板（单门柜体）,HB-HS00-2352-368-12
后背板（单门柜体）,HB-HS00-2352-400-12
后背板（单门柜体）,HB-HS00-2352-432-12
后背板（单门柜体）,HB-HS00-2320-336-12
后背板（单门柜体）,HB-HS00-2320-368-12
后背板（单门柜体）,HB-HS00-2320-400-12
后背板（单门柜体）,HB-HS00-2320-432-12
后背板（单门柜体）,HB-HS00-2288-336-12
后背板（单门柜体）,HB-HS00-2288-368-12
后背板（单门柜体）,HB-HS00-2288-400-12
后背板（单门柜体）,HB-HS00-2288-432-12
后背板（单门柜体）,HB-HS00-2256-336-12
后背板（单门柜体）,HB-HS00-2256-368-12
后背板（单门柜体）,HB-HS00-2256-400-12
后背板（单门柜体）,HB-HS00-2256-432-12
后背板（双门柜体）为(1+1)组合,HB-HS00-2352-336-12
